video_id,video_title,author,comment,likes,date,sentiment,sentiment_score
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@옴마야-d4x8p,"매번 주는사람한테만 주고, 키워주고~~이런보석을 발견해주세요",0,2026-05-19T03:27:51Z,중립,0.1264
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@느긋-l7b,사람들이 다 알거 같아요 몸으로 재밌게 놀아준게 최고의 추억일거 같아요!!!,0,2026-05-19T03:25:21Z,중립,0.3306
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@남미현-q2f,따님들도 잘 키우셨구나.,0,2026-05-19T03:23:46Z,중립,0.4433
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@김보영-o1e7c,"좋은 아빠는 인생 최고의 선물입니다
부럽네요 자녀분들",0,2026-05-19T03:21:50Z,중립,0.407
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@blood264,장난감보다 아빠엄마랑 노는게 더 좋아요,0,2026-05-19T03:21:42Z,중립,0.2785
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@이혜경-m9i,"참 잘사셨네요
자녀에게 인정받는 아버지 
감동입니다",0,2026-05-19T03:16:10Z,중립,0.7226
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@헿헤,어릴때 갖고놀던 장난감은 다 기억나지 않지만 아빠와 함께한 시간들은 평생 가더라구요 사랑 받은 자식들은 힘이 있습니다,0,2026-05-19T03:13:41Z,중립,0.3258
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@세호-v2q,허수아비 잘 보고 있습니다 ㅎㅎ 다음 작품도 응원 하겠습니디!!,1,2026-05-19T02:55:45Z,중립,0.2128
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@김지현-i8f5j,"열번 스무번 돌려보며
내 마음을 다잡아봅니다..",1,2026-05-19T02:54:18Z,중립,0.0591
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@고현실-k5p,"너무~~
좋은 아빠 셨네요~

늘~~~

건강 하세요~^♡^
🎉❤🎉❤🎉❤",9,2026-05-19T02:42:19Z,중립,0.6006
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@선영이-x5w,보고배우는겁니다,1,2026-05-19T02:40:24Z,중립,0.1547
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@혜정박-u8f,2만원.. 눈물이 왈칵 ..,0,2026-05-19T02:33:54Z,중립,0.8879
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@오뉴블,"어떤 상황에서도 나에게 최선을 다한 멋진 아빠라는거, 따님들 평생 행복한 추억을 선물해주셨네요 ❤",0,2026-05-19T02:30:39Z,중립,0.7574
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@청평호처럼,어릴 때 명품옷 입혀 더러워질까 가만히 인형처럼 앉혀놓는거보다 싸고 편한 옷 입혀 맘껏 뒹글고 노는게 훨씬 기억에 남고 좋은 촉감 감각들이 발전해요. 훌륭한 교육이었어요^^,0,2026-05-19T02:29:48Z,중립,0.1656
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@오호jji,아 눙물나서 영상보다 멈춤,0,2026-05-19T02:26:31Z,중립,0.0638
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@전-d4f,유승목 최고죠❤,3,2026-05-19T02:09:01Z,중립,0.2063
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@초록초록-k6m,흥하시길,2,2026-05-19T02:08:23Z,중립,0.3123
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@닉네임사용안함,요즘은 태블릿 띡 틀어주고 몸으로 놀아주는 아빠 진짜 생각보다 드물다. 직접 교감하며 같이 놀아주는 엄마 아빠가 최고,1,2026-05-19T01:43:05Z,중립,0.2096
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@ah7968,부자세요,0,2026-05-19T01:40:15Z,중립,0.0947
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@sona_ejh,"돈 많아서 장난감 수두루 빽빽 사주는 부모보다..
장난감 안사줘도 몸으로 놀아주는 부모 밑에서 자란 아이들이 더 건강하답니다..",0,2026-05-19T01:33:52Z,중립,0.1912
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@nabangbooboo,딱보면 진심으로 아이들과 잘 놀아주셨을것 같다~,0,2026-05-19T01:28:06Z,중립,0.1314
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@ss-y8e,연기 진짜 잘하심. 승승장구 하세요^^,4,2026-05-19T01:24:51Z,중립,0.226
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@잔부르스라제,이양반 연기작살이던데..늦게 떴음.초심지키시고 승승장구 하시길,0,2026-05-19T01:12:43Z,중립,0.214
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@강하리-k7j,지금보다 앞으로 더잘되실꺼예요❤,5,2026-05-19T01:09:30Z,중립,0.2687
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@캔디라떼-f3s,눈물나요...선한사람이 잘 되는 세상이 되어야 할텐데...,5,2026-05-19T01:08:52Z,중립,0.8666
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@jeh00001,조연분들중에 좋으신분들이 악역 많으신듯;;;  더글로리서 돈뜯는 이모님 남편도.. 역활맡고 힘드셨다든디;;,0,2026-05-19T01:08:31Z,중립,0.0956
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@나무들mo,상받으신거 정말 축하드립니다 행복하세요❤,7,2026-05-19T01:08:19Z,중립,0.631
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@great-w1i,"장난감 없어서 몸으로 놀아준 아빠라면 좋은 아빠죠
자기 자식 장난감 하나 사줄 돈도 없을 만큼 돈도 못 벌면서 가장 이라며 권력만 행사하며  아무것도 안하는 애비ㅆㄲ들이 훨씬 더 많죠 

장난감 없어도 몸으로 놀아 준 아빠에게 감사 할 줄 아는 딸들도 착하네요 좋은 부모 에게서  좋은 자식이 나오죠",0,2026-05-19T00:58:01Z,중립,0.6655
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@베리-p1t,"너무 멋지시잖아
응원 합니다",5,2026-05-19T00:52:11Z,중립,0.2522
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@장가로등,"성공해야할 연기잘하시는 조연분 많아요~
연기보단 인기로 리치된 연기자보면 기운빠질듯",0,2026-05-19T00:41:34Z,중립,0.1657
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@Beckyreyssilva,하나님 감사합니다 이가족분들 다 축복해주세요,0,2026-05-19T00:24:49Z,중립,0.8185
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@hansbands,감동입니다,4,2026-05-19T00:12:47Z,중립,0.4071
3V8SLEXp5Eg,형편이 어려워 장난감 대신 몸으로 최선을 다해 놀아주던 아빠#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.344,@박현철-f8w,결혼하면 아빠처럼 놀아줄거야 이 말이 눈시울 만들어지네요~유승목배우님 화이팅,0,2026-05-18T23:52:32Z,중립,0.3758
